ID,UserId,CourseId,Progress,StartDate,Completed,Title,Category,Total_enrollment,Total_Completions,completion_rate,Username,Department,Enrollments,Completions
EN0042,EMP237,COR0131,100,2022-01-11,1,Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,Software Development,1184,722,60.979729729729726,Amy Hendricks,Solution Enabler,15,8
EN0043,EMP166,COR0246,100,2022-01-12,1,Supply Chain Finance and Blockchain Technology Specialization,Finance,1375,1162,84.50909090909092,Cindy Bullock,Senior Software Engineer,21,14
EN0044,EMP149,COR1211,100,2022-01-12,1,Introduction to Python Programming,Software Development,1424,781,54.84550561797753,Julia Barry,Senior Software Engineer,16,9
EN0045,EMP239,COR0704,100,2022-01-12,1,Artificial Intelligence in Marketing,Marketing,4829,3288,68.08863118658107,Nicole Salinas,Solution Enabler,15,8
EN0046,EMP261,COR1249,100,2022-01-12,1,Strategic Management,Business Strategy,1444,833,57.686980609418285,James Brewer,Software Engineer,29,22
EN0047,EMP085,COR1137,23,2022-01-12,0,Optimize ML Models and Deploy Human-in-the-Loop Pipelines,Machine Learning,3221,2433,75.53554796647003,Michaela Swanson,Solution Consultant,7,0
EN0048,EMP137,COR1245,74,2022-01-12,0,Strategic Organization Design,Business Strategy,2511,1891,75.30864197530865,Charles Sullivan,Solution Consultant,12,5
EN0049,EMP076,COR1567,100,2022-01-12,1,Gestión del canal de distribución y retailing,Marketing,3029,2315,76.42786398151205,Adrian Flowers,Software Engineer,28,21
EN0050,EMP123,COR1307,43,2022-01-12,0,"FinTech: Foundations, Payments, and Regulations",Business Essentials,2542,2457,96.65617623918175,Kendra Wilcox,Software Engineer,6,0
EN0051,EMP086,COR0389,100,2022-01-12,1,Programming with Google Go Specialization,Software Development,248,152,61.29032258064516,William Pearson,Software Engineer,24,17
EN0052,EMP173,COR0077,95,2022-01-12,0,"Data Engineering, Big Data, and Machine Learning on GCP Specialization",Machine Learning,3650,1870,51.23287671232877,Joyce Lane,Software Engineer,18,11
EN0053,EMP024,COR1462,100,2022-01-13,1,Agile Meets Design Thinking,Design and Product,3550,2999,84.47887323943662,Justin Jackson,Solution Enabler,28,21
EN0054,EMP172,COR0993,79,2022-01-13,0,Getting Started with Power BI Desktop,Business Essentials,3293,1733,52.62678408745825,Laura Ford,Software Engineer,27,20
EN0055,EMP257,COR1822,100,2022-01-13,1,Planning a Patient Safety or Quality Improvement Project (Patient Safety III),Healthcare Management,3869,3140,81.15792194365469,Mikayla Wright MD,Solution Consultant,27,20
EN0056,EMP054,COR1957,30,2022-01-13,0,Building Your Career in Music: Developing A Brand and Funding Your Music,Music and Art,3469,0,0.0,Christopher Williams,Software Engineer,7,0
EN0057,EMP194,COR1055,100,2022-01-13,1,Google Docs,Cloud Computing,1254,994,79.26634768740031,Donald Mcguire,Solution Enabler,22,15
EN0058,EMP052,COR0463,100,2022-01-13,1,Google UX Design (PT) Professional Certificate,Design and Product,3449,2452,71.09307045520441,Alexandra Nguyen,Solution Enabler,19,12
EN0059,EMP247,COR1942,21,2022-01-13,0,The Structured Query Language (SQL),Data Analysis,1215,916,75.39094650205762,Paige Green,Senior Software Engineer,25,18
EN0060,EMP036,COR0647,100,2022-01-14,1,Influencer Marketing Strategy,Marketing,1281,708,55.26932084309133,Daniel Soto,Software Engineer,29,22
EN0061,EMP281,COR0258,53,2022-01-14,0,Getting started with Google Workspace Specialization,Cloud Computing,388,196,50.51546391752577,Alex Buchanan,Solution Consultant,23,16
EN0062,EMP001,COR0447,100,2022-01-15,1,Arizona State University TESOL Professional Certificate,Learning English,4223,3943,93.36964243428842,Amber Flynn,Software Engineer,15,8
EN0063,EMP006,COR1110,100,2022-01-15,1,Object-Oriented Hierarchies in Java,Software Development,2987,1800,60.26113157013726,Kimberly Patel,Solution Consultant,22,15
EN0064,EMP251,COR0790,100,2022-01-15,1,Contabilidad para no contadores,Finance,3711,2662,71.73268660738346,Samantha Cohen,Software Engineer,30,23
EN0065,EMP167,COR1758,100,2022-01-15,1,Chinese for HSK 1,Other Languages,1305,677,51.877394636015325,Michael Wolfe,Solution Enabler,17,10
EN0066,EMP178,COR1396,25,2022-01-15,0,Ethical Issues in Data Science,Data Analysis,2420,1350,55.78512396694215,Kelly Willis,Senior Software Engineer,7,0
EN0067,EMP122,COR0430,100,2022-01-15,1,IBM IT Support  Professional Certificate,Support and Operations,1544,1355,87.75906735751295,Scott Young,Senior Software Engineer,19,12
EN0068,EMP213,COR1210,25,2022-01-15,0,Intermediate Object-Oriented Programming for Unity Games,Software Development,2306,2173,94.23243712055508,Tracey Henson,Senior Software Engineer,14,7
EN0069,EMP200,COR0748,9,2022-01-16,0,Cryptography I,Computer Security and Networks,1472,1144,77.71739130434783,Amber Frazier,Senior Software Engineer,12,5
EN0070,EMP133,COR1278,100,2022-01-16,1,DFSS for the 6 σ Black Belt,Business Essentials,705,391,55.46099290780142,Robert Gould,Senior Software Engineer,27,20
EN0071,EMP116,COR1925,100,2022-01-17,1,Applying Data Analytics in Accounting,Business Strategy,4145,2843,68.58866103739444,Monica Rivera,Software Engineer,23,16
EN0072,EMP183,COR1587,100,2022-01-17,1,"Response Surfaces, Mixtures, and Model Building",Probability and Statistics,2538,2442,96.2174940898345,Cassandra Sutton,Software Engineer,16,9
EN0073,EMP251,COR0430,100,2022-01-17,1,IBM IT Support  Professional Certificate,Support and Operations,1544,1355,87.75906735751295,Samantha Cohen,Software Engineer,30,23
EN0074,EMP192,COR0547,100,2022-01-17,1,Nuts and Bolts of U.S. Immigration Law,Law,1094,901,82.35831809872029,Lisa Gordon,Software Engineer,20,13
EN0075,EMP037,COR0574,100,2022-01-17,1,Business Sustainability in the Circular Economy,Business Essentials,4498,2506,55.71365051133837,Joseph Chandler,Solution Consultant,29,22
EN0076,EMP001,COR0224,100,2022-01-17,1,Investment and Portfolio Management Specialization,Finance,2956,1729,58.49120433017592,Amber Flynn,Software Engineer,15,8
EN0077,EMP194,COR1766,100,2022-01-18,1,Infrastructure and Application Modernization with Google Cloud,Business Strategy,2880,2850,98.95833333333334,Donald Mcguire,Solution Enabler,22,15
EN0078,EMP036,COR1286,100,2022-01-18,1,Operations and Patient Safety for Healthcare IT Staff,Patient Care,4468,2596,58.10205908683975,Daniel Soto,Software Engineer,29,22
EN0079,EMP083,COR1773,43,2022-01-18,0,Challenges of Leading Technical Teams,Personal Development,3559,3554,99.85951109862322,Amy Nelson,Solution Consultant,12,5
EN0080,EMP100,COR0703,29,2022-01-18,0,System Administration and IT Infrastructure Services,Support and Operations,904,618,68.36283185840708,Bryan Nguyen,Senior Software Engineer,23,16
EN0081,EMP170,COR0805,100,2022-01-18,1,Introduction to Software Engineering,Software Development,315,256,81.26984126984127,Todd Lewis,Software Engineer,9,2
EN0082,EMP141,COR1335,100,2022-01-19,1,Major and Principal Gifts,Business Strategy,1208,688,56.95364238410596,Charles Black,Software Engineer,17,10
EN0083,EMP163,COR0307,100,2022-01-19,1,Mathematics for Engineers Specialization,Math and Logic,4224,3567,84.44602272727273,Tanya Gould,Senior Software Engineer,27,20
EN0084,EMP289,COR0529,13,2022-01-19,0,Antibiotic Stewardship,Public Health,305,269,88.19672131147541,Timothy Terry,Solution Consultant,16,9
EN0085,EMP138,COR0924,100,2022-01-19,1,Data-Driven Decisions with Power BI,Business Essentials,4570,3681,80.54704595185996,Richard Blake,Senior Software Engineer,27,20
EN0086,EMP203,COR1903,17,2022-01-19,0,"Spring MVC, Spring Boot  and Rest Controllers",Software Development,3866,2775,71.77961717537507,Christopher Gonzalez,Software Engineer,24,17
EN0087,EMP130,COR0200,100,2022-01-19,1,Robotics Specialization,Electrical Engineering,1825,1676,91.83561643835615,Joann Howard,Senior Software Engineer,23,16
EN0088,EMP297,COR0159,100,2022-01-19,1,Advanced Data Science with IBM Specialization,Machine Learning,4786,3733,77.9983284580025,James Smith,Senior Software Engineer,26,19
EN0089,EMP266,COR1080,100,2022-01-20,1,Fundraising and Development Foundations,Business Strategy,4980,2491,50.02008032128514,Brenda Brown,Software Engineer,21,14
EN0090,EMP184,COR1713,26,2022-01-20,0,DevOps on AWS: Release and Deploy,Software Development,3391,2996,88.35151872603952,Katherine Hernandez,Solution Consultant,13,6
EN0091,EMP216,COR0865,26,2022-01-20,0,Innovation Management,Business Strategy,2146,1697,79.07735321528425,Regina Lopez,Solution Enabler,3,0
EN0092,EMP254,COR0449,100,2022-01-20,1,Diseño de Experiencia del Usuario (UX) de Google Professional Certificate,Diseño y Producto,1918,1151,60.010427528675706,Wyatt Graves,Software Engineer,13,6
EN0093,EMP004,COR0226,100,2022-01-21,1,Data Visualization & Dashboarding with R Specialization,Data Analysis,3648,2971,81.44188596491229,Morgan Lloyd,Senior Software Engineer,28,21
EN0094,EMP173,COR1906,100,2022-01-21,1,Pharmaceutical and Medical Device Innovations,Finance,278,205,73.7410071942446,Joyce Lane,Software Engineer,18,11
EN0095,EMP208,COR0872,93,2022-01-21,0,"Decisions, Decisions: Dashboards and Reports",Data Analysis,4298,4134,96.18427175430433,Meghan Shaffer,Solution Enabler,29,22
EN0096,EMP069,COR0484,1,2022-01-22,0,Google Cloud Digital Leader Training Professional Certificate,Cloud Computing,457,411,89.93435448577681,Gregory Francis,Solution Consultant,15,8
EN0097,EMP269,COR0119,91,2022-01-22,0,Dynamic Public Speaking Specialization,Personal Development,3854,2049,53.16554229372081,Jillian Martinez,Solution Consultant,10,3
EN0098,EMP002,COR1283,9,2022-01-22,0,Software Processes and Agile Practices,Design and Product,2851,2345,82.25184145913714,Kimberly Aguilar,Senior Software Engineer,20,13
EN0099,EMP179,COR1199,100,2022-01-22,1,Financial Accounting: Advanced Topics,Finance,756,733,96.95767195767195,Katherine Baird,Solution Consultant,15,8
EN0100,EMP194,COR0347,62,2022-01-22,0,IBM AI Enterprise Workflow Specialization,Machine Learning,419,375,89.49880668257757,Donald Mcguire,Solution Enabler,22,15
EN0101,EMP015,COR0216,100,2022-01-23,1,Social Media Marketing Specialization,Marketing,597,406,68.00670016750419,Edgar Francis,Solution Consultant,16,9
EN0102,EMP118,COR1287,52,2022-01-23,0,Speaking and Presenting: Conversation Starters,Personal Development,4099,3896,95.04757257867773,Kelly Yates,Software Engineer,10,3
EN0103,EMP219,COR0027,100,2022-01-23,1,Excel Skills for Business Specialization,Business Essentials,3613,1917,53.058400221422644,Bradley Cabrera,Senior Software Engineer,30,23
EN0104,EMP073,COR1515,100,2022-01-23,1,Digital Signal Processing 1: Basic Concepts and Algorithms,Electrical Engineering,406,322,79.3103448275862,Nicole Martin,Solution Consultant,23,16
EN0105,EMP081,COR0779,31,2022-01-23,0,Fundamentals of Graphic Design,Music and Art,1793,1498,83.54712771890685,Emily Collins,Software Engineer,6,0
EN0106,EMP080,COR0231,89,2022-01-24,0,Power Electronics Specialization,Electrical Engineering,2019,1961,97.1272907379891,Shannon Patel,Solution Enabler,23,16
EN0107,EMP098,COR1455,100,2022-01-24,1,Big Data - Capstone Project,Data Analysis,3273,2558,78.15459822792545,Jessica Crosby,Senior Software Engineer,25,18
EN0108,EMP198,COR0679,100,2022-01-24,1,Stanford Introduction to Food and Health,Nutrition,2595,1546,59.57610789980732,Krystal Griffith,Software Engineer,26,19
EN0109,EMP106,COR0162,100,2022-01-24,1,School Health for Children and Adolescents Specialization,Patient Care,2621,1456,55.551316291491794,Helen Taylor,Solution Consultant,28,21
EN0110,EMP103,COR0476,80,2022-01-24,0,Google Project Management (DE) Professional Certificate,Leadership and Management,2207,1653,74.89805165382873,Judith Townsend,Solution Consultant,11,4
EN0111,EMP028,COR0058,84,2022-01-24,0,Business Strategy Specialization,Business Strategy,4472,4431,99.08318425760287,Luis Wright,Solution Enabler,16,9
EN0112,EMP196,COR0919,94,2022-01-25,0,"Excel/VBA for Creative Problem Solving, Part 1",Algorithms,4904,4579,93.37275693311582,Maria Sexton,Solution Consultant,15,8
EN0113,EMP156,COR1660,100,2022-01-25,1,Strategic Self-Marketing and Personal Branding,Personal Development,2758,2298,83.32124728063815,Sara Harvey,Solution Enabler,20,13
EN0114,EMP012,COR0722,100,2022-01-25,1,SQL: A Practical Introduction for Querying Databases,Data Analysis,569,378,66.4323374340949,Michelle Lopez,Solution Enabler,13,6
EN0115,EMP015,COR0501,62,2022-01-25,0,Design Thinking: Insights to Inspiration,Business Strategy,1066,680,63.789868667917446,Edgar Francis,Solution Consultant,16,9
EN0116,EMP053,COR1397,47,2022-01-25,0,Easing Physical Symptoms: It's Not Just Hospice Anymore,Patient Care,103,60,58.252427184466015,April Morris,Senior Software Engineer,9,2
EN0117,EMP112,COR0709,25,2022-01-25,0,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Business Essentials,2472,2347,94.94336569579288,Scott Long,Senior Software Engineer,27,20
EN0118,EMP259,COR0617,100,2022-01-25,1,Leading Healthcare Quality and Safety,Healthcare Management,1378,1292,93.75907111756169,Michael Bailey,Solution Enabler,20,13
EN0119,EMP281,COR0641,8,2022-01-25,0,Cyber Security Fundamentals,Computer Security and Networks,4386,3753,85.56771545827634,Alex Buchanan,Solution Consultant,23,16
EN0120,EMP270,COR0874,91,2022-01-26,0,Camino a la Excelencia en Gestión de Proyectos,Leadership and Management,1005,874,86.96517412935323,Martin Phillips,Solution Enabler,8,1
EN0121,EMP264,COR1360,100,2022-01-26,1,Managing an Agile Team,Design and Product,3714,2775,74.7172859450727,Tom Singh,Solution Consultant,27,20
EN0122,EMP129,COR1889,25,2022-01-26,0,What is Compliance?,Business Essentials,3425,2414,70.48175182481752,Heather Green,Software Engineer,12,5
EN0123,EMP288,COR0141,100,2022-01-26,1,"Effective Communication: Writing, Design, and Presentation Specialization",Business Essentials,2987,2123,71.07465684633412,Ashley Smith,Software Engineer,23,16
EN0124,EMP093,COR1998,100,2022-01-26,1,Guitar Performance Techniques,Music and Art,2161,0,0.0,Megan Morgan,Solution Enabler,18,11
EN0125,EMP243,COR1650,100,2022-01-27,1,Content Strategy for Professionals: Managing Content,Marketing,3439,2704,78.62750799651062,Sergio Taylor,Solution Enabler,16,9
EN0126,EMP293,COR1401,4,2022-01-27,0,Sales Force Management,Leadership and Management,3281,3225,98.29320329167936,Jay Williams,Solution Consultant,20,13
EN0127,EMP217,COR0216,100,2022-01-27,1,Social Media Marketing Specialization,Marketing,597,406,68.00670016750419,Matthew Smith,Solution Enabler,18,11
EN0128,EMP172,COR1673,100,2022-01-28,1,Análisis de situaciones de negocio,Leadership and Management,2107,1148,54.48504983388705,Laura Ford,Software Engineer,27,20
EN0129,EMP049,COR0252,19,2022-01-28,0,Creativity and AI Specialization,Design and Product,3335,2493,74.75262368815592,Rachel Reyes,Senior Software Engineer,29,22
EN0130,EMP113,COR1661,45,2022-01-28,0,Blockchain Opportunity Analysis,Business Strategy,3189,2775,87.01787394167451,Natalie Mcpherson MD,Senior Software Engineer,3,0
EN0131,EMP180,COR1470,65,2022-01-29,0,Creating a Team Culture of Continuous Learning,Leadership and Management,1589,1252,78.79169288860919,Terri Thompson,Solution Consultant,12,5
EN0132,EMP124,COR1758,57,2022-01-29,0,Chinese for HSK 1,Other Languages,1305,677,51.877394636015325,Joshua Robinson,Senior Software Engineer,20,13
EN0133,EMP047,COR0808,45,2022-01-29,0,Natural Language Processing with Attention Models,Machine Learning,2772,1954,70.49062049062049,Peter Wright,Software Engineer,29,22
EN0134,EMP070,COR0053,100,2022-01-29,1,Digital Marketing Specialization,Marketing,2172,1696,78.08471454880295,Tiffany Edwards,Solution Enabler,30,23
EN0135,EMP009,COR1535,82,2022-01-29,0,Developing a Leadership Framework,Leadership and Management,2349,1625,69.17837377607493,Allison Black,Solution Consultant,28,21
EN0136,EMP211,COR1492,5,2022-01-29,0,Java Programming: Solving Problems with Software,Software Development,3996,3195,79.95495495495496,Jordan Pineda,Software Engineer,9,2
EN0137,EMP219,COR0687,100,2022-01-29,1,Programming for Everybody (Getting Started with Python),Software Development,4792,4453,92.92570951585977,Bradley Cabrera,Senior Software Engineer,30,23
EN0138,EMP293,COR0375,100,2022-01-30,1,IELTS Preparation Specialization,Learning English,436,362,83.02752293577981,Jay Williams,Solution Consultant,20,13
EN0139,EMP233,COR0194,100,2022-01-30,1,Trading Strategies in Emerging Markets Specialization,Finance,4724,2779,58.8272650296359,Emily Hill,Solution Consultant,29,22
EN0140,EMP096,COR1857,36,2022-01-30,0,Introducción a la Contabilidad Financiera,Finance,4345,3134,72.12888377445339,Tony Ramirez,Senior Software Engineer,4,0
EN0141,EMP261,COR1270,100,2022-01-30,1,Hardware Description Languages for FPGA Design,Electrical Engineering,1028,613,59.63035019455253,James Brewer,Software Engineer,29,22
EN0142,EMP252,COR0655,100,2022-01-30,1,Ask Questions to Make Data-Driven Decisions,Data Analysis,2409,1588,65.91946865919469,William Thompson,Solution Enabler,25,18
EN0143,EMP209,COR1823,100,2022-01-30,1,Investment Strategies and Portfolio Analysis,Finance,4344,2869,66.04511970534071,Krista Walker,Senior Software Engineer,21,14
EN0144,EMP165,COR1156,22,2022-01-30,0,Google Sheets - Advanced Topics en español,Cloud Computing,3977,3073,77.26929846618053,Melissa Franco,Software Engineer,10,3
EN0145,EMP012,COR0599,70,2022-01-30,0,Curanderismo: Traditional Healing Using Plants,History,1865,1494,80.10723860589812,Michelle Lopez,Solution Enabler,13,6
EN0146,EMP133,COR1135,2,2022-01-30,0,Wharton Entrepreneurship Capstone,Entrepreneurship,2187,1135,51.89757658893461,Robert Gould,Senior Software Engineer,27,20
EN0147,EMP223,COR0568,79,2022-01-31,0,Strategy and Sustainability,Business Strategy,1709,895,52.369806904622585,Alexandra Holloway,Solution Consultant,19,12
EN0148,EMP009,COR1082,100,2022-01-31,1,Combinatorics and Probability,Algorithms,4644,3411,73.44961240310077,Allison Black,Solution Consultant,28,21
EN0149,EMP281,COR0013,100,2022-01-31,1,Cloud Application Development Foundations Specialization,Cloud Computing,3096,2827,91.31136950904393,Alex Buchanan,Solution Consultant,23,16
EN0150,EMP051,COR0306,70,2022-01-31,0,C++ Programming for Unreal Game Development Specialization,Software Development,607,464,76.44151565074135,Fernando Edwards,Solution Enabler,3,0
EN0151,EMP080,COR1827,14,2022-01-31,0,The Art of Negotiation,Business Essentials,1259,783,62.19221604447974,Shannon Patel,Solution Enabler,23,16
EN0152,EMP207,COR1506,100,2022-01-31,1,Access Control Concepts,Security,2563,2232,87.08544674209911,Roger Rivera,Solution Consultant,20,13
EN0153,EMP189,COR1534,85,2022-02-01,0,Leading People and Teams Capstone,Leadership and Management,821,803,97.80755176613886,Rebecca Phillips,Senior Software Engineer,12,5
EN0154,EMP173,COR1595,10,2022-02-01,0,Engineering Practices for Building Quality Software,Software Development,3534,3464,98.0192416525184,Joyce Lane,Software Engineer,18,11
EN0155,EMP247,COR1141,100,2022-02-01,1,Building Your Leadership Skills,Leadership and Management,4154,4098,98.6519017814155,Paige Green,Senior Software Engineer,25,18
EN0156,EMP010,COR1015,100,2022-02-02,1,"Introduction to CAD, CAM, and Practical CNC Machining",Mechanical Engineering,4789,3697,77.19774483190646,Patrick Sanchez,Solution Consultant,27,20
EN0157,EMP152,COR0645,100,2022-02-02,1,Marketing Digital en Acción,Marketing,1162,906,77.96901893287436,Barbara Anderson,Solution Enabler,16,9
EN0158,EMP146,COR0956,100,2022-02-02,1,Rebuilding Our Relationship with Food,Nutrition,2893,2029,70.13480815762185,Isaac Williams,Software Engineer,22,15
EN0159,EMP007,COR0377,100,2022-02-02,1,Extended Reality for Everybody Specialization,Design and Product,2904,2390,82.30027548209367,Lauren Green,Solution Consultant,28,21
EN0160,EMP088,COR0060,55,2022-02-02,0,Human Resource Management: HR for People Managers Specialization,Business Strategy,304,195,64.14473684210526,Mrs. Rachel Clark,Software Engineer,22,15
EN0161,EMP203,COR0845,100,2022-02-02,1,Financial Accounting Fundamentals,Business Essentials,1873,987,52.696209289909234,Christopher Gonzalez,Software Engineer,24,17
EN0162,EMP207,COR1006,31,2022-02-02,0,A Tour of Google Cloud Hands-on Labs,Cloud Computing,1705,1368,80.23460410557185,Roger Rivera,Solution Consultant,20,13
EN0163,EMP183,COR0768,100,2022-02-02,1,Finance for Non-Finance Professionals,Finance,4883,3044,62.338726192914194,Cassandra Sutton,Software Engineer,16,9
EN0164,EMP250,COR0109,100,2022-02-02,1,Real-World Product Management Specialization,Design and Product,1295,980,75.67567567567568,Gina Williams,Solution Enabler,22,15
EN0165,EMP274,COR0401,100,2022-02-02,1,Sales Operations/Management Specialization,Leadership and Management,1704,1536,90.14084507042254,Kimberly Rodriguez,Senior Software Engineer,23,16
EN0166,EMP046,COR1046,100,2022-02-02,1,Introduction to Big Data,Data Analysis,214,142,66.35514018691589,James Olsen,Solution Enabler,22,15
EN0167,EMP024,COR0168,100,2022-02-03,1,Blockchain Specialization,Software Development,276,174,63.04347826086957,Justin Jackson,Solution Enabler,28,21
